,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2216_child0_m1H4Lb_free.pickle,98.79295860290527,22.18852197647095,95.44985244750977,134,167.6,0.04526748971193416,7.5,0.14482758620689656,243,1015,0.1589825119236884,0.84,0.6337040429614198,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2299_child0_z1T508_free.pickle,98.67064207453393,26.20392657336317,99.37311456992873,200,170.066667,0.30212573496155587,29.99999994119953,0.5997234704459039,2211,2893,0.5272335423197492,0.6885916016350799,0.770927825925197,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2356_child0_gqhTBr_free.pickle,99.7929913150963,31.967068752479648,99.65737964919205,200,165.733333,0.10562890896455872,30.000000060337893,0.2727015558698727,1439,3535,0.8118214716525934,0.3875681030212977,0.6454515044019076,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_241_child0_7S9_free.pickle,99.35796582611626,43.64838358003144,99.41262332673108,167,161.833333,0.4765432098765432,12.000000024716787,0.38581652569941444,405,1537,0.49279093717816685,0.6499477533960293,-0.23140808536485769,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2441_child0_7rMY0z_free.pickle,99.6524498213036,42.57223510009297,98.51766142538256,200,164.8,0.14075067024128687,29.999999999999996,0.6872230428360414,2238,2708,0.6314193287505054,0.7041306436119116,1.5649470770431977,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_363_child0_7jh_free.pickle,99.91973689386614,41.4428977763534,98.88683226829352,167,162.25,0.7222222222222222,12.0,0.760187040748163,450,1497,0.7729840780688239,0.772093023255814,0.11744855542041954,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_391_child1_yQxQ5Q_free.pickle,99.8219340338091,43.92689123222132,98.95367492328991,167,164.416667,0.5067114093959731,11.999999975671567,0.7808955223880597,298,1675,0.8474404460212874,0.8092105263157895,0.7583974111845966,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_568_child0_kmHktZ_free.pickle,99.91863093835975,38.61748479031221,98.90199958789076,200,163.333333,0.1354378818737271,30.000000061224487,0.911434405308831,982,3918,0.7661224489795918,0.9637719765583378,2.45068893443353,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_928_child0_rq7_free.pickle,99.56748785446806,44.12112201066978,99.56281762648898,167,167.583333,0.42947368421052634,12.000000023868722,0.5956644674835061,950,1061,0.6539035305818001,0.6593155893536121,0.41985508170995867,0
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1216_child1_ZKg5mG_scientific.pickle,97.55868231429103,46.79999068644037,99.90690603295798,200,163.5,0.16500711237553342,30.0,0.2433396764985728,703,4204,0.24556755655186469,0.8639004149377594,0.27848520439039304,1
