,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1451_child0_WWmTzy_scientific.pickle,99.91019908987361,53.36278466698077,96.70910210460782,167,167.5,0.14393939393939395,12.0,0.8022941970310391,528,1482,0.8298507462686567,0.8579136690647482,1.9126308802053322,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1598_child0_DqXyHb_scientific.pickle,99.63530209156336,41.476023689985674,93.01677522387736,167,164.333333,0.16065573770491803,12.00000002434077,0.6840113528855251,915,1057,0.6054766734279919,0.788107202680067,1.47071208320008,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1774_child0_VYZHWH_scientific.pickle,99.96108975351248,33.381436689537985,97.37996991243216,200,163.6,0.24561403508771928,30.0,0.7966488956587966,969,3939,0.83679706601467,0.8249330411492574,1.5180678667251724,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1808_child0_60pz9v_scientific.pickle,99.75073449755632,34.38586119681538,99.71085945185084,200,163.4,0.39244558258642764,30.0,0.48931383577052867,3124,1778,0.6148510811913505,0.45985401459854014,0.24616118631329653,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1819_child0_VptYqb_scientific.pickle,99.2883946003045,16.80062170439555,99.0557785707902,200,162.9,0.03198494825964252,30.0,0.6808677469942499,1063,3826,0.764368991613827,0.8118811881188119,2.3225162984503864,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1824_child0_tLbXMy_scientific.pickle,99.66547486572266,55.62770202026367,99.92574044189453,200,165.2,0.2283464566929134,5.0,0.8314606741573034,381,445,0.7566585956416465,0.8544,1.7042568857546911,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1840_child0_6Qmq8G_scientific.pickle,99.91445419089973,53.408737515820754,99.67451276776977,200,164.9,0.3674871207784774,30.0,0.8535290443472829,1747,3202,0.8767427763184482,0.818160866559115,1.390205931368767,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2049_child0_xQy8hp_scientific.pickle,99.81452905091048,44.29298195202806,99.83282188814503,200,171.466667,0.3812910284463895,29.999999941679626,0.866787221217601,1828,3318,0.9104158569762922,0.7816435432230523,1.4134236316013513,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2051_child0_4qPMNQ_scientific.pickle,99.58805468030202,37.69766792204085,99.93212318517575,200,162.2,0.17908407382091593,30.000000000000004,0.8704845814977974,1463,3405,0.8064913722267871,0.9095771777890983,2.04754602367882,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2106_child0_plpYyg_scientific.pickle,99.82271073690227,41.08313103083982,99.92614785404396,200,164.733333,0.28237951807228917,30.00000006070417,0.6590154867256637,1328,3616,0.7890372168284789,0.7710843373493976,0.9855648849114751,1
