,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2681_child0_qP8Kt4_free.pickle,99.99496185250933,47.34770638336175,97.43882747903488,200,163.066667,0.10344827586206896,29.99999993867539,0.6666666666666666,58,222,0.9630159378831222,0.3458518990027583,1.6928724759182652,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2693_child0_gwTR6k_free.pickle,97.52878530706391,51.370525964288625,75.94935539216682,200,155.466667,0.07553956834532374,29.99999993567753,0.061677631578947366,1390,1216,0.2543934847835405,0.13310867733782644,-0.10511175373157977,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2696_child0_NJvMjv_free.pickle,99.99812920148983,32.99053824047709,99.94715800440589,200,151.7,0.5411255411255411,30.000000000000004,0.6889400921658986,231,434,0.9444322424774874,0.27744186046511626,0.3895785428114228,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2733_child0_zdbbtW_free.pickle,99.88060295368578,43.77842534707183,95.74415499391114,200,164.866667,0.2159383033419023,29.999999939344924,0.33770014556040756,389,687,0.8247776879547292,0.34672874295515804,0.3672364056191507,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2745_child0_vPLwM0_free.pickle,99.70459876767676,50.1841939228905,99.68039937238905,200,152.333333,0.11755233494363929,30.000000065645512,0.6509368494101319,621,1441,0.8597987751531059,0.4930043245993386,1.5751627634193088,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2762_child0_7PWk9V_free.pickle,99.9808216214515,35.0535713106761,99.64488972271651,200,162.066667,0.07746478873239436,29.999999938296998,0.5096774193548387,142,155,0.9512746710526315,0.3600605143721634,1.4465931613378757,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2820_child0_x7457Q_free.pickle,98.69150803150661,40.10568709571842,98.80657160288412,200,163.333333,0.09635173058933583,30.000000061224487,0.3812233285917496,1069,1406,0.3873929008567931,0.35281727224855186,1.0003536578683159,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2894_child0_0w3Txq_free.pickle,98.90731915258928,67.56611175119892,98.72937100661977,200,147.733333,0.003067484662576687,30.000000067689534,0.046153846153846156,163,260,0.9073071718538566,0.27193636589609743,1.057130784542711,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_3058_child0_hYdwgN_free.pickle,99.90824370668808,26.667438820712313,99.82537740505279,133,158.666667,0.27,7.499999984243698,0.35135135135135137,300,259,0.6893366918555835,0.36053593179049936,0.23113833725106464,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_355_child0_mFC_free.pickle,98.95946334333811,25.21142638004651,98.66588143336259,167,156.333333,0.13347457627118645,12.000000025586353,0.19548872180451127,472,532,0.5314498933901919,0.5245737211634904,0.2522696347649799,0
