,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2067_child0_DVXdqW_free.pickle,99.68361070046151,39.79370669752303,99.9106586935847,200,148.566667,0.0006501950585175553,29.99999993269015,0.4426229508196721,769,1403,0.7100246692083427,0.3313329121920404,3.071571266044433,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2117_child1_MGL06k_free.pickle,99.28938075768404,34.07770406842031,99.32171331344527,200,152.4,0.35451505016722407,30.0,0.4911206368646663,1196,1633,0.6482291211193704,0.41618887015177064,0.3508999110624695,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2147_child0_7kypVM_free.pickle,99.84784970897064,54.279546745562286,99.95436971188578,208,141.333333,0.23580034423407917,24.00000005660377,0.3035294117647059,581,1275,0.7121390689451974,0.21224658667769963,0.2056007599708537,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2162_child0_G1Vqj1_free.pickle,99.86708431550827,31.402044932047527,98.48482124416307,201,153.184358,0.4163265306122449,14.916666622058107,0.7375,245,560,0.9514435695538058,0.4496551724137931,0.8469571696678312,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2237_child0_6vT248_free.pickle,99.87239834847348,29.00599867967913,99.3023339393789,200,160.366667,0.343520782396088,29.9999999376429,0.7383444338725024,818,1051,0.9060876792021608,0.5285484980509058,1.04112284873176,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2238_child0_t5Rxb5_free.pickle,98.09979051799444,19.439199249179378,99.83873596632412,200,161.1,0.1201885310290652,30.0,0.08476736775015933,1273,1569,0.14312306101344363,0.24855491329479767,-0.19965547749405932,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2366_child1_zk3ylL_free.pickle,99.86241013489848,36.54768158606,99.81398407269984,200,155.433333,0.28488372093023256,30.000000064336263,0.6751918158567775,344,391,0.909967845659164,0.32226148409893995,1.022689235031485,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2387_child0_DLQV4l_free.pickle,99.97561024101198,38.95810605635773,99.7373684688158,200,160.6,0.5609756097560976,15.0,0.7739938080495357,287,323,0.8991701244813278,0.4660821412090448,0.5986211139337826,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2668_child0_3tXkZr_free.pickle,99.99351486255573,36.5860310573516,99.82665236415164,200,154.5544,0.3791469194312796,14.985014985014987,0.7657657657657657,211,555,0.9309451877427708,0.46360686138154844,1.0326952569556342,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2674_child0_R06km9_free.pickle,99.71180121949378,57.542816091091076,99.71354434338022,200,154.566667,0.12103174603174603,29.999999935303,0.27203856749311295,1008,1452,0.6484156068118129,0.5960771276595744,0.5631854955332503,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2681_child0_qP8Kt4_free.pickle,99.99496185250933,47.34770638336175,97.43882747903488,200,163.066667,0.00423728813559322,29.99999993867539,0.5458515283842795,118,229,0.9630159378831222,0.3541268830893274,2.7477400966266177,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2693_child0_gwTR6k_free.pickle,97.52878530706391,51.370525964288625,75.94935539216682,200,155.466667,0.05157232704402516,29.99999993567753,0.23928342930262317,1590,1563,0.2543934847835405,0.5703454085930918,0.9211863673460782,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2696_child0_NJvMjv_free.pickle,99.99812920148983,32.99053824047709,99.94715800440589,200,151.7,0.2813299232736573,30.000000000000004,0.4656652360515021,391,466,0.9444322424774874,0.30093023255813955,0.49272424876955434,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2733_child0_zdbbtW_free.pickle,99.88060295368578,43.77842534707183,95.74415499391114,200,164.866667,0.2518891687657431,29.999999939344924,0.3769338959212377,397,711,0.8247776879547292,0.35015927468757657,0.3550131626743091,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2745_child0_vPLwM0_free.pickle,99.70459876767676,50.1841939228905,99.68039937238905,200,152.333333,0.15699208443271767,30.000000065645512,0.6299929922915207,758,1427,0.8597987751531059,0.5161536504706181,1.3387320047787854,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2762_child0_7PWk9V_free.pickle,99.9808216214515,35.0535713106761,99.64488972271651,200,162.066667,0.11643835616438356,29.999999938296998,0.6142131979695431,146,197,0.9512746710526315,0.3622217419494273,1.4832984308172201,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2820_child0_x7457Q_free.pickle,98.69150803150661,40.10568709571842,98.80657160288412,200,163.333333,0.16041848299912817,30.000000061224487,0.40131578947368424,1147,1520,0.3873929008567931,0.38704581358609796,0.7427965995766495,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2894_child0_0w3Txq_free.pickle,98.90731915258928,67.56611175119892,98.72937100661977,200,147.733333,0.011494252873563218,30.000000067689534,0.18064516129032257,174,310,0.9073071718538566,0.27417350236142185,1.3607164651518464,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_3058_child0_hYdwgN_free.pickle,99.90824370668808,26.667438820712313,99.82537740505279,133,158.666667,0.27639751552795033,7.499999984243698,0.3549618320610687,322,262,0.6893366918555835,0.3800243605359318,0.22161844254400576,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_355_child0_mFC_free.pickle,98.95946334333811,25.21142638004651,98.66588143336259,167,156.333333,0.3168724279835391,12.000000025586353,0.3333333333333333,486,594,0.5314498933901919,0.23069207622868607,0.04573528666818194,0
